product_id,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
2,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 00:00:00.000041245
3,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 00:00:00.000041701
37,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 00:00:00.000036361
88,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1970-01-01 00:00:00.000036145
78,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 00:00:00.000042226
25,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000039031
22,WeareA2B,Standard,medium,medium,60.34,45.26,1970-01-01 00:00:00.000034165
15,WeareA2B,Standard,medium,medium,1292.84,13.44,1970-01-01 00:00:00.000039915
67,Solex,Standard,medium,large,1071.23,380.74,1970-01-01 00:00:00.000033455
12,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 00:00:00.000038216
5,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01 00:00:00.000040784
61,OHM Cycles,Standard,low,medium,71.16,56.93,1970-01-01 00:00:00.000042172
35,Trek Bicycles,Standard,low,medium,1057.51,154.4,1970-01-01 00:00:00.000034527
16,Norco Bicycles,Standard,high,small,1661.92,1479.11,1970-01-01 00:00:00.000034586
12,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 00:00:00.000038193
3,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 00:00:00.000037873
79,Norco Bicycles,Standard,medium,medium,1555.58,818.01,1970-01-01 00:00:00.000038206
33,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 00:00:00.000033888
54,WeareA2B,Standard,medium,medium,1292.84,13.44,1970-01-01 00:00:00.000039915
25,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000037337
27,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01 00:00:00.000036334
37,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 00:00:00.000042145
82,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000042404
89,WeareA2B,Touring,medium,large,1362.99,57.74,1970-01-01 00:00:00.000034079
64,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01 00:00:00.000042145
64,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01 00:00:00.000041047
19,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01 00:00:00.000042560
72,Norco Bicycles,Standard,medium,medium,360.4,270.3,1970-01-01 00:00:00.000042710
91,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 00:00:00.000041922
88,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1970-01-01 00:00:00.000037539
1,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 00:00:00.000042688
25,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 00:00:00.000042404
99,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01 00:00:00.000038991
0,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01 00:00:00.000038647
92,WeareA2B,Standard,medium,small,1415.01,1259.36,1970-01-01 00:00:00.000037874
14,Solex,Standard,high,large,1842.92,1105.75,1970-01-01 00:00:00.000034996
2,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 00:00:00.000033549
12,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 00:00:00.000038693
44,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 00:00:00.000037668
